"","TransIdentifier","Liquid_Src","Non_Liquid_Src","Amount","Purchase","difference"
"1417","FYR-B5NZ-ZPH",109416.95,0,109416.9531,109416.95,0
"1418","FYR-B72J-VRM",70139.17,0,70139.1719,70139.17,0
"1419","FYR-B7UR-PNL",55000,0,110000,55000,55000
"1426","FYR-BSGF-TQJ",141331.79,0,141331.7969,141331.79,0
"1439","FYR-CBK2-GI4",53301.98,0,53301.9805,53301.98,0
"1442","FYR-CC6E-U4G",0,47106.73,47106.7305,47106.73,0
"1453","FYR-CIFP-WUB",30006.62,0,30006.6191,30006.62,0
"1461","FYR-O33T-XKL",206274.66,0,206274.6562,206274.66,0
"1484","FYS-BVTW-C5V",31598,0,126392,31598,94794
"1486","FYS-BWHO-OET",0,49721.36,49721.3594,49721.36,0
"1499","FYS-CDAZ-CHZ",20296.61,0,40593.2188,20296.61,20296
"1504","FYS-CFTM-XFB",79928,0,159856,79928,79928
"1506","FYS-CGOF-3ZQ",142800,0,285600,142800,142800
"1508","FYS-CHPR-G2I",57909.94,0,57909.9414,57909.94,0
"1515","FYS-CLOZ-K3Z",69563.84,0,69563.8438,69563.84,0
"1517","FYS-CMAG-FMN",69659.37,0,69659.3672,69659.37,0
"1521","FYS-COAM-QHX",54000,0,108000,54000,54000
"1522","FYS-CQSH-DRF",0,60855.28,60855.2812,60855.28,0
"1528","FYT-B2FD-ING",0,25235.34,25235.3398,25235.34,0
"1529","FYT-B2WO-KLC",58400,0,116800,58400,58400
"1538","FYT-BNH4-PO6",29150.79,0,29150.7891,29150.79,0
"1545","FYT-BTTR-VXE",49208.34,0,49208.3398,49208.34,0
"1548","FYT-BUJA-HBS",99583.94,0,199167.875,99583.94,99584
"1549","FYT-BUKW-HZ3",21472.52,0,21472.5195,21472.52,0
"1556","FYT-BZ6Z-32O",32500,0,65000,32500,32500
"1560","FYT-CAID-UNL",319149.04,0,319149.0312,319149.04,0
"1563","FYT-CBAY-R6W",57000,0,114000,57000,57000
